"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
113.800,92.23083920,42.70801051,169.668939
114.000,92.22322993,42.63096426,170.331594
114.200,92.21567471,42.55403674,170.995878
114.400,92.20817305,42.47722825,171.661792
114.600,92.20072446,42.40053876,172.329338
114.800,92.19332845,42.32396832,172.998519
115.000,92.18598455,42.24751699,173.669337
115.200,92.17869227,42.17118474,174.341794
115.400,92.17145117,42.09497181,175.015891
115.600,92.16426077,42.01887814,175.691631
115.800,92.15712063,41.94290379,176.369016
116.000,92.15003027,41.86704867,177.048049
116.200,92.14298927,41.79131302,177.728731
116.400,92.13599717,41.71569678,178.411064
116.600,92.12905355,41.64019994,179.095051
116.800,92.12215795,41.56482245,179.780694
117.000,92.11530996,41.48956449,180.467994
117.200,92.10850916,41.41442599,181.156954
117.400,92.10175512,41.33940685,181.847576
117.600,92.09504743,41.26450725,182.539861
117.800,92.08838568,41.18972710,183.233813
118.000,92.08176946,41.11506629,183.929433
118.200,92.07519837,41.04052500,184.626723
118.400,92.06867202,40.96610311,185.325686
118.600,92.06219000,40.89180051,186.026323
118.800,92.05575193,40.81761735,186.728636
119.000,92.04935744,40.74355351,187.432627
119.200,92.04300611,40.66960886,188.138300
119.400,92.03669761,40.59578356,188.845655
119.600,92.03043153,40.52207746,189.554694
119.800,92.02420751,40.44849043,190.265421
120.000,92.01802520,40.37502259,190.977836
120.200,92.01188423,40.30167382,191.691942
120.400,92.00578422,40.22844395,192.407742
120.600,91.99972485,40.15533311,193.125236
120.800,91.99370575,40.08234105,193.844428
121.000,91.98772658,40.00946790,194.565318
121.200,91.98178700,39.93671347,195.287909
121.400,91.97588666,39.86407762,196.012205
121.600,91.97002523,39.79156045,196.738205
121.800,91.96420237,39.71916169,197.465912
122.000,91.95841776,39.64688143,198.195329
122.200,91.95267107,39.57471942,198.926457
122.400,91.94696198,39.50267575,199.659299
122.600,91.94129018,39.43075022,200.393856
122.800,91.93565533,39.35894266,201.130131
123.000,91.93005713,39.28725314,201.868125
123.200,91.92449527,39.21568139,202.607840
123.400,91.91896945,39.14422748,203.349280
123.600,91.91347936,39.07289112,204.092445
123.800,91.90802470,39.00167237,204.837337
124.000,91.90260517,38.93057096,205.583959
124.200,91.89722049,38.85958694,206.332313
124.400,91.89187034,38.78872002,207.082401
124.600,91.88655447,38.71797024,207.834224
124.800,91.88127256,38.64733733,208.587785
125.000,91.87602435,38.57682130,209.343085
125.200,91.87080955,38.50642189,210.100128
125.400,91.86562789,38.43613910,210.858914
125.600,91.86047908,38.36597266,211.619446
125.800,91.85536287,38.29592259,212.381725
126.000,91.85027898,38.22598858,213.145754
126.200,91.84522714,38.15617067,213.911535
126.400,91.84020710,38.08646854,214.679070
126.600,91.83521858,38.01688213,215.448361
126.800,91.83026135,37.94741138,216.219409
127.000,91.82533512,37.87805597,216.992217
127.200,91.82043967,37.80881592,217.766786
127.400,91.81557473,37.73969091,218.543119
127.600,91.81074005,37.67068087,219.321218
127.800,91.80593540,37.60178572,220.101085
128.000,91.80116052,37.53300514,220.882721
128.200,91.79641518,37.46433913,221.666128
128.400,91.79169914,37.39578737,222.451310
128.600,91.78701216,37.32734977,223.238267
128.800,91.78235401,37.25902625,224.027001
129.000,91.77772445,37.19081648,224.817515
129.200,91.77312327,37.12272044,225.609810
129.400,91.76855022,37.05473781,226.403888
129.600,91.76400508,36.98686850,227.199752
129.800,91.75948765,36.91911240,227.997403
130.000,91.75499768,36.85146919,228.796844
130.200,91.75053497,36.78393876,229.598076
130.400,91.74609930,36.71652100,230.401101
130.600,91.74169044,36.64921560,231.205921
130.800,91.73730820,36.58202243,232.012539
131.000,91.73295237,36.51494132,232.820955
131.200,91.72862272,36.44797214,233.631172
