                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
02577    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:44.920           584.920
02578    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:28.864           448.864
02579    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:12.801           312.801
02580    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:56.742           176.742
02581    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:40.684            40.684
02618    3 Dec 2019 00:08:07.343    3 Dec 2019 00:10:00.000           112.657
02619    3 Dec 2019 00:05:51.371    3 Dec 2019 00:10:00.000           248.629
02620    3 Dec 2019 00:03:35.391    3 Dec 2019 00:10:00.000           384.609
02621    3 Dec 2019 00:01:19.407    3 Dec 2019 00:10:00.000           520.593
02622    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02623    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02624    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02625    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
